Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_stats_shooting,PKatt_stats_shooting,Crs,TklW,Int,Fld,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,OG,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm
34,Amine Adli,ma MAR,MF,Bournemouth,eng Premier League,25.0,2000,31,10,1093,12.1,3,1,4,3,0,0,2,0,0.33,20,9,45.0,1.65,0.74,0.15,0.33,0,0,39,17,6,23,2,0,0,29,0,,,,,,,,,,,,,,
35,Adrián,es ESP,GK,Real Betis,es La Liga,38.0,1987,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,0,0,0,0,0,0,0,0,0,1,1.00,7,6,85.7,1,0,0,0,0.0,0,0,0,0
36,Vasilije Adžić,me MNE,MF,Juventus,it Serie A,19.0,2006,10,1,171,1.9,1,0,1,1,0,0,0,0,0.53,6,4,66.7,3.16,2.11,0.17,0.25,0,0,4,2,3,2,0,0,0,3,0,,,,,,,,,,,,,,
37,Michel Aebischer,ch SUI,MF,Pisa,it Serie A,28.0,1997,35,33,2892,32.1,1,2,3,1,0,0,8,0,0.09,19,5,26.3,0.59,0.16,0.05,0.20,0,0,43,37,35,38,8,0,0,44,0,,,,,,,,,,,,,,
38,David Affengruber,at AUT,DF,Elche,es La Liga,24.0,2001,36,33,2949,32.8,1,1,2,1,0,0,7,1,0.06,14,4,28.6,0.43,0.12,0.07,0.25,0,0,8,50,50,35,7,1,0,34,0,,,,,,,,,,,,,,
39,Dapo Afolayan,eng ENG,MF,St Pauli,de Bundesliga,27.0,1997,7,1,150,1.7,0,0,0,0,0,0,1,0,0.00,4,2,50.0,2.40,1.20,0.00,0.00,0,0,10,2,0,6,1,0,0,2,0,,,,,,,,,,,,,,
40,Emmanuel Agbadou,ci CIV,DF,Wolves,eng Premier League,28.0,1997,14,12,1101,12.2,0,0,0,0,0,0,1,1,0.00,10,3,30.0,0.82,0.25,0.00,0.00,0,0,13,21,14,5,1,1,0,10,0,,,,,,,,,,,,,,
41,Julen Agirrezabala,es ESP,GK,Valencia,es La Liga,24.0,2000,18,18,1620,18.0,0,0,0,0,0,0,1,0,0.00,0,0,,0.00,0.00,,,0,0,0,1,0,1,1,0,0,0,0,30,1.67,79,52,65.8,3,7,8,4,22.2,4,3,1,0
42,Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,23.0,2002,34,31,2686,29.8,1,3,4,1,0,0,12,0,0.13,15,2,13.3,0.50,0.07,0.07,0.50,0,0,18,40,49,16,12,0,0,58,0,,,,,,,,,,,,,,
43,Felix Agu,ng NGA,"DF,MF",Werder Bremen,de Bundesliga,25.0,1999,11,9,744,8.3,0,0,0,0,0,0,1,0,0.00,2,1,50.0,0.24,0.12,0.00,0.00,0,0,14,14,11,14,1,0,0,8,0,,,,,,,,,,,,,,
44,Diego Aguado,es ESP,DF,Real Madrid,es La Liga,18.0,2007,1,0,30,0.3,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,
45,Marc Aguado,es ESP,MF,Elche,es La Liga,25.0,2000,35,30,2500,27.8,1,2,3,1,0,0,3,0,0.11,3,2,66.7,0.11,0.07,0.33,0.50,0,0,2,26,42,23,3,0,0,25,0,,,,,,,,,,,,,,
46,Pablo Agudín,es ESP,MF,Oviedo,es La Liga,17.0,2007,7,0,90,1.0,0,0,0,0,0,0,0,0,0.00,2,0,0.0,2.00,0.00,0.00,,0,0,2,0,0,1,0,0,0,4,0,,,,,,,,,,,,,,
47,Nayef Aguerd,ma MAR,DF,Marseille,fr Ligue 1,29.0,1996,16,16,1396,15.5,1,0,1,1,0,0,4,0,0.06,10,2,20.0,0.64,0.13,0.10,0.50,0,0,2,16,21,6,4,0,0,21,0,,,,,,,,,,,,,,
48,Nayef Aguerd,ma MAR,DF,West Ham United,eng Premier League,29.0,1996,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,2,0,0.0,1.00,0.00,0.00,,0,0,2,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,
49,Ruben Aguilar,fr FRA,MF,Lens,fr Ligue 1,32.0,1993,26,20,1720,19.1,2,2,4,2,0,0,6,1,0.21,13,3,23.1,0.68,0.16,0.15,0.67,0,0,86,24,24,12,6,1,1,26,0,,,,,,,,,,,,,,
50,Ibai Aguirre,es ESP,MF,Real Sociedad,es La Liga,18.0,2007,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,
51,Naouirou Ahamada,fr FRA,MF,Auxerre,fr Ligue 1,23.0,2002,15,8,682,7.6,0,1,1,0,0,0,0,0,0.13,6,1,16.7,0.79,0.13,0.00,0.00,0,0,6,10,5,9,0,0,0,5,0,,,,,,,,,,,,,,
52,Honest Ahanor,it ITA,DF,Atalanta,it Serie A,17.0,2008,22,15,1377,15.3,0,0,0,0,0,0,2,1,0.00,13,4,30.8,0.85,0.26,0.00,0.00,0,0,2,20,24,28,2,1,0,24,0,,,,,,,,,,,,,,
53,Lucas Ahijado,es ESP,DF,Oviedo,es La Liga,30.0,1995,20,11,1098,12.2,0,1,1,0,0,0,3,0,0.08,10,2,20.0,0.82,0.16,0.00,0.00,0,0,16,29,17,3,3,0,0,14,0,,,,,,,,,,,,,,
54,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,29.0,1995,8,7,639,7.1,0,0,0,0,0,0,0,0,0.00,2,0,0.0,0.28,0.00,0.00,,0,0,0,3,10,1,0,0,0,5,0,,,,,,,,,,,,,,
55,Ola Aina,ng NGA,DF,Nottingham Forest,eng Premier League,28.0,1996,18,18,1588,17.6,0,0,0,0,0,0,3,0,0.00,12,1,8.3,0.68,0.06,0.00,0.00,0,0,39,21,26,15,3,0,0,13,0,,,,,,,,,,,,,,
56,Abdelhamid Ait Boudlal,ma MAR,DF,Rennes,fr Ligue 1,19.0,2006,20,17,1403,15.6,2,1,3,2,0,0,3,1,0.19,13,4,30.8,0.83,0.26,0.15,0.50,0,0,2,11,18,10,3,1,0,14,0,,,,,,,,,,,,,,
57,Rayan Aït-Nouri,dz ALG,DF,Manchester City,eng Premier League,24.0,2001,17,12,974,10.8,0,2,2,0,0,0,2,0,0.18,10,2,20.0,0.92,0.18,0.00,0.00,0,0,22,21,13,10,2,0,0,17,0,,,,,,,,,,,,,,
58,Tosin Aiyegun,bj BEN,"FW,MF",Lorient,fr Ligue 1,27.0,1998,27,11,1073,11.9,5,0,5,5,0,1,1,0,0.42,30,12,40.0,2.52,1.01,0.17,0.42,0,1,6,5,1,13,1,0,0,11,0,,,,,,,,,,,,,,
59,Junior Ajayi,ci CIV,FW,Hellas Verona,it Serie A,20.0,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
60,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,27.0,1998,27,20,1810,20.1,0,1,1,0,0,0,4,0,0.05,10,3,30.0,0.50,0.15,0.00,0.00,0,0,7,23,15,5,4,0,0,23,0,,,,,,,,,,,,,,
61,Ludovic Ajorque,fr FRA,FW,Brest,fr Ligue 1,31.0,1994,32,32,2820,31.3,8,9,17,8,0,0,9,1,0.54,55,17,30.9,1.76,0.54,0.15,0.47,0,0,9,20,11,55,9,1,0,65,0,,,,,,,,,,,,,,
62,Manuel Akanji,ch SUI,DF,Inter,it Serie A,30.0,1995,33,31,2821,31.3,2,0,2,2,0,0,4,0,0.06,23,6,26.1,0.73,0.19,0.09,0.33,0,0,3,24,37,18,4,0,0,26,0,,,,,,,,,,,,,,
63,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,30.0,1995,18,6,695,7.7,0,0,0,0,0,0,1,0,0.00,7,1,14.3,0.91,0.13,0.00,0.00,0,0,4,6,5,8,1,0,0,3,0,,,,,,,,,,,,,,
64,Ilias Akhomach,ma MAR,MF,Villarreal,es La Liga,21.0,2004,9,2,188,2.1,0,0,0,0,0,0,0,0,0.00,6,2,33.3,2.87,0.96,0.00,0.00,0,0,9,4,0,7,0,0,0,9,0,,,,,,,,,,,,,,
65,Ilias Akhomach,ma MAR,"MF,FW",Rayo Vallecano,es La Liga,21.0,2004,11,7,709,7.9,0,1,1,0,0,0,2,0,0.13,18,6,33.3,2.28,0.76,0.00,0.00,0,0,22,10,2,29,2,0,0,9,0,,,,,,,,,,,,,,
66,Ebenezer Akinsanmiro,ng NGA,MF,Pisa,it Serie A,20.0,2004,24,16,1444,16.0,0,1,1,0,0,0,2,0,0.06,13,3,23.1,0.81,0.19,0.00,0.00,0,0,9,25,27,28,2,0,0,30,0,,,,,,,,,,,,,,
67,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,fr Ligue 1,23.0,2002,31,28,2400,26.7,6,6,12,6,0,0,3,0,0.45,48,19,39.6,1.80,0.71,0.13,0.32,0,0,53,26,18,36,3,0,0,29,0,,,,,,,,,,,,,,
68,Clément Akpa,ci CIV,DF,Auxerre,fr Ligue 1,23.0,2001,26,21,1944,21.6,0,0,0,0,0,0,4,1,0.00,6,0,0.0,0.28,0.00,0.00,,0,0,30,19,23,30,4,1,1,12,2,,,,,,,,,,,,,,
69,Jean-Daniel Akpa-Akpro,ci CIV,MF,Hellas Verona,it Serie A,32.0,1992,22,17,1504,16.7,1,0,1,1,0,0,9,0,0.06,13,4,30.8,0.78,0.24,0.08,0.25,0,0,17,32,22,15,9,0,0,39,0,,,,,,,,,,,,,,
70,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,30.0,1995,8,1,61,0.7,0,0,0,0,0,0,0,1,0.00,0,0,,0.00,0.00,,,0,0,0,1,1,0,0,1,0,1,0,,,,,,,,,,,,,,
71,Al-Musrati,ly LBY,MF,Hellas Verona,it Serie A,29.0,1996,18,8,844,9.4,0,1,1,0,0,0,6,1,0.11,9,1,11.1,0.96,0.11,0.00,0.00,0,0,2,7,11,3,6,1,1,15,0,,,,,,,,,,,,,,
72,David Alaba,at AUT,DF,Real Madrid,es La Liga,33.0,1992,11,5,424,4.7,0,0,0,0,0,0,1,0,0.00,4,1,25.0,0.85,0.21,0.00,0.00,0,0,0,4,0,0,1,0,0,1,0,,,,,,,,,,,,,,
73,Agustín Albarracín,uy URU,FW,Cagliari,it Serie A,19.0,2005,2,0,33,0.4,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,2,0,0,3,0,0,0,0,0,,,,,,,,,,,,,,
74,Mathis Albert,us USA,FW,Dortmund,de Bundesliga,16.0,2009,1,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,1,1,0,0,0,0,0,1,0,,,,,,,,,,,,,,
75,Raúl Albiol,es ESP,DF,Pisa,it Serie A,39.0,1985,8,5,500,5.6,0,1,1,0,0,0,1,0,0.18,1,0,0.0,0.18,0.00,0.00,,0,0,1,4,7,2,1,0,0,6,0,,,,,,,,,,,,,,
76,Carlos Alcaraz,ar ARG,MF,Everton,eng Premier League,22.0,2002,20,6,689,7.7,0,1,1,0,0,0,4,0,0.13,20,5,25.0,2.61,0.65,0.00,0.00,0,0,6,9,2,12,4,0,0,10,0,,,,,,,,,,,,,,
77,Omar Alderete,py PAR,DF,Sunderland,eng Premier League,28.0,1996,33,32,2798,31.1,1,1,2,1,0,0,6,0,0.06,24,9,37.5,0.77,0.29,0.04,0.11,0,0,11,18,36,10,6,0,0,34,0,,,,,,,,,,,,,,
78,Alexandre Alemão,br BRA,FW,Rayo Vallecano,es La Liga,27.0,1998,26,11,1136,12.6,4,0,4,4,0,0,3,0,0.32,26,12,46.2,2.06,0.95,0.15,0.33,0,0,5,2,1,27,3,0,0,23,0,,,,,,,,,,,,,,
79,Carles Aleñá,es ESP,MF,Alavés,es La Liga,27.0,1998,34,23,1989,22.1,0,4,4,0,0,0,5,0,0.18,29,5,17.2,1.31,0.23,0.00,0.00,0,0,121,24,12,36,5,0,0,38,0,,,,,,,,,,,,,,
80,Trent Alexander-Arnold,eng ENG,DF,Real Madrid,es La Liga,26.0,1998,21,14,1163,12.9,0,4,4,0,0,0,4,0,0.31,10,2,20.0,0.77,0.15,0.00,0.00,0,0,126,10,13,5,4,0,0,10,0,,,,,,,,,,,,,,
81,Alfon,es ESP,MF,Villarreal,es La Liga,26.0,1999,10,3,333,3.7,1,0,1,1,0,0,0,0,0.27,6,3,50.0,1.62,0.81,0.17,0.33,0,0,9,1,2,2,0,0,0,7,0,,,,,,,,,,,,,,
82,Alfon,es ESP,MF,Sevilla,es La Liga,26.0,1999,10,4,312,3.5,1,0,1,1,0,0,0,0,0.29,11,7,63.6,3.17,2.02,0.09,0.14,0,0,4,0,1,6,0,0,0,3,0,,,,,,,,,,,,,,
83,Mohamed Ali Cho,fr FRA,"FW,MF",Nice,fr Ligue 1,21.0,2004,24,20,1667,18.5,4,3,7,4,0,0,1,0,0.38,32,14,43.8,1.73,0.76,0.13,0.29,0,0,39,9,4,32,1,0,0,14,0,,,,,,,,,,,,,,
84,Alisson,br BRA,GK,Liverpool,eng Premier League,32.0,1992,26,26,2340,26.0,0,0,0,0,0,0,1,0,0.00,0,0,,0.00,0.00,,,0,0,0,0,0,7,1,0,0,1,0,31,1.19,86,57,66.3,13,8,5,8,30.8,2,2,0,0
85,Jim Allevinah,ga GAB,MF,Angers,fr Ligue 1,30.0,1995,6,0,133,1.5,1,0,1,1,0,0,0,0,0.68,5,1,20.0,3.38,0.68,0.20,1.00,0,0,1,1,0,4,0,0,0,0,0,,,,,,,,,,,,,,
86,Max Alleyne,eng ENG,DF,Manchester City,eng Premier League,20.0,2005,2,2,135,1.5,0,0,0,0,0,0,0,0,0.00,2,1,50.0,1.33,0.67,0.00,0.00,0,0,0,3,3,0,0,0,0,0,0,,,,,,,,,,,,,,
87,Thiago Almada,ar ARG,"MF,FW",Atlético Madrid,es La Liga,24.0,2001,27,16,1311,14.6,3,1,4,3,0,0,2,1,0.27,21,10,47.6,1.44,0.69,0.14,0.30,0,0,40,18,9,16,2,1,0,13,0,,,,,,,,,,,,,,
88,Domingos André Ribeiro Almeida,pt POR,MF,Valencia,es La Liga,25.0,2000,22,11,1017,11.3,0,2,2,0,0,0,0,0,0.18,9,3,33.3,0.80,0.27,0.00,0.00,0,0,65,11,8,22,0,0,0,12,0,,,,,,,,,,,,,,
89,Pontus Almqvist,se SWE,MF,Parma,it Serie A,26.0,1999,13,4,457,5.1,0,1,1,0,0,0,0,0,0.20,5,2,40.0,0.98,0.39,0.00,0.00,0,0,7,6,6,14,0,0,0,6,0,,,,,,,,,,,,,,
90,Marcos Alonso,es ESP,DF,Celta Vigo,es La Liga,34.0,1990,32,31,2768,30.8,1,0,1,0,1,1,5,0,0.00,24,3,12.5,0.78,0.10,0.00,0.00,1,1,19,24,30,20,5,0,0,23,0,,,,,,,,,,,,,,
91,Adrià Altimira,es ESP,"DF,MF",Villarreal,es La Liga,24.0,2001,1,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,
92,Sergi Altimira,es ESP,MF,Real Betis,es La Liga,23.0,2001,24,13,1186,13.2,1,2,3,1,0,0,3,0,0.23,7,3,42.9,0.53,0.23,0.14,0.33,0,0,3,36,20,22,3,0,0,14,0,,,,,,,,,,,,,,
93,Carlos Álvarez,es ESP,MF,Levante,es La Liga,21.0,2003,30,23,1890,21.0,3,1,4,3,0,0,3,0,0.19,30,11,36.7,1.43,0.52,0.10,0.27,0,0,54,13,13,49,3,0,0,22,0,,,,,,,,,,,,,,
94,Hugo Álvarez,es ESP,"FW,MF",Celta Vigo,es La Liga,22.0,2003,28,15,1340,14.9,4,2,6,4,0,0,2,0,0.40,14,8,57.1,0.94,0.54,0.29,0.50,0,0,23,9,10,17,2,0,0,16,0,,,,,,,,,,,,,,
95,Julián Álvarez,ar ARG,FW,Atlético Madrid,es La Liga,25.0,2000,29,22,1895,21.1,8,4,12,6,2,3,2,0,0.47,54,26,48.1,2.56,1.23,0.11,0.23,2,3,86,13,3,18,2,0,0,14,0,,,,,,,,,,,,,,
96,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,30.0,1995,7,6,513,5.7,0,0,0,0,0,0,0,0,0.00,1,0,0.0,0.18,0.00,0.00,,0,0,2,1,14,5,0,0,0,3,0,,,,,,,,,,,,,,
97,Skelly Alvero,fr FRA,MF,Werder Bremen,de Bundesliga,23.0,2002,2,0,34,0.4,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,0,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,
98,Ayoube Amaimouni Echghouyab,ma MAR,"MF,FW",Eintracht Frankfurt,de Bundesliga,20.0,2004,17,6,586,6.5,2,3,5,2,0,0,1,0,0.77,12,7,58.3,1.84,1.08,0.17,0.29,0,0,30,5,2,10,1,0,0,8,0,,,,,,,,,,,,,,
99,Jaydon Amauri Banel,nl NED,"FW,MF",Burnley,eng Premier League,20.0,2004,1,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,
100,Giuseppe Ambrosino,it ITA,FW,Napoli,it Serie A,21.0,2003,3,0,38,0.4,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,0,0,0,1,0,0,0,1,0,,,,,,,,,,,,,,
101,Zeki Amdouni,ch SUI,"FW,MF",Burnley,eng Premier League,24.0,2000,4,0,73,0.8,0,0,0,0,0,0,0,0,0.00,3,1,33.3,3.70,1.23,0.00,0.00,0,0,0,0,0,1,0,0,0,1,0,,,,,,,,,,,,,,
102,Aurele Amenda,ch SUI,DF,Eintracht Frankfurt,de Bundesliga,22.0,2003,24,18,1678,18.6,0,0,0,0,0,0,5,0,0.00,10,2,20.0,0.54,0.11,0.00,0.00,0,0,6,12,29,13,5,0,0,22,1,,,,,,,,,,,,,,
103,Kelvin Amian,fr FRA,DF,Nantes,fr Ligue 1,27.0,1998,23,22,1961,21.8,0,1,1,0,0,0,3,0,0.05,10,2,20.0,0.46,0.09,0.00,0.00,0,0,29,18,8,18,3,0,0,23,0,,,,,,,,,,,,,,
